model,fold,n_fit,n_validate,p_value,mean_error
all_viruses,1,518,58,0.3878,0.35619289657549635
all_viruses,2,518,58,0.45544,0.2544172570138675
all_viruses,3,518,58,0.38936,0.21791788910202214
all_viruses,4,518,58,0.25514,0.3966072081675213
all_viruses,5,518,58,0.454,-0.23250192893161437
all_viruses,6,518,58,0.46814,-0.27049036809900256
all_viruses,7,519,57,0.00278,-0.8215603926197821
all_viruses,8,519,57,0.66261,-0.13996824222570342
all_viruses,9,519,57,0.32511,0.4176435073658528
all_viruses,10,519,57,0.54168,-0.18800836647962557
all_viruses_strict,1,517,58,0.26315,0.22564743570479465
all_viruses_strict,2,517,58,0.49917,0.20681603761250458
all_viruses_strict,3,517,58,0.98395,0.004760578636660477
all_viruses_strict,4,517,58,0.23844,-0.1655495238854816
all_viruses_strict,5,517,58,0.31926,-0.24538204479545792
all_viruses_strict,6,518,57,0.11859,0.380681891572894
all_viruses_strict,7,518,57,0.9787,-0.007145976813442255
all_viruses_strict,8,518,57,0.32674,0.18440453237493495
all_viruses_strict,9,518,57,0.03015,-0.3341366691651787
all_viruses_strict,10,518,57,0.00831,-0.3224478642231584
all_zoonoses,1,525,59,0.37131,0.06876742807493036
all_zoonoses,2,525,59,0.22855,-0.17957089701747575
all_zoonoses,3,525,59,0.3281,-0.11405356640702205
all_zoonoses,4,525,59,0.42038,-0.12321818699160186
all_zoonoses,5,526,58,0.84179,0.02390974564918778
all_zoonoses,6,526,58,0.00226,0.26152639886948675
all_zoonoses,7,526,58,0.64572,0.03953423546086479
all_zoonoses,8,526,58,0.98708,-0.0017058363715082886
all_zoonoses,9,526,58,0.06832,-0.2310089399989247
all_zoonoses,10,526,58,0.0486,0.20451368573493525
all_zoonoses_strict,1,518,58,0.09702,-0.1609399958877413
all_zoonoses_strict,2,518,58,0.37704,0.07073373476168114
all_zoonoses_strict,3,518,58,0.13049,0.17620741329844875
all_zoonoses_strict,4,518,58,0.95737,0.020506748315628053
all_zoonoses_strict,5,518,58,0.43959,0.13785198597229772
all_zoonoses_strict,6,518,58,0.29304,-0.11174804785207065
all_zoonoses_strict,7,519,57,0.76143,0.03239275611122227
all_zoonoses_strict,8,519,57,0.63243,0.04028871157864915
all_zoonoses_strict,9,519,57,0.01885,-0.20363844117778165
all_zoonoses_strict,10,519,57,0.57135,-0.07006739759809169
domestic_viruses,1,28,4,0.0,-4.866034300642591
domestic_viruses,2,28,4,0.62479,4.042224912113411
domestic_viruses,3,29,3,0.75204,-9.41046426596362
domestic_viruses,4,29,3,0.0,-2.2870897750803105
domestic_viruses,5,29,3,0.0,3.236982264390226
domestic_viruses,6,29,3,0.75317,-3.9861714115730758
domestic_viruses,7,29,3,0.49869,1.0462056033689588
domestic_viruses,8,29,3,0.25089,2.9934317850637115
domestic_viruses,9,29,3,0.49798,-3.125917666804503
domestic_viruses,10,29,3,0.4972,-0.6278482295757559
domestic_viruses_strict,1,28,4,0.0,-2.493744151513593
domestic_viruses_strict,2,28,4,0.12513,2.0435301176065734
domestic_viruses_strict,3,29,3,0.74895,-0.2485076211188737
domestic_viruses_strict,4,29,3,0.24621,-6.3738055612464155
domestic_viruses_strict,5,29,3,0.25072,5.831786098923388
domestic_viruses_strict,6,29,3,0.50251,1.0407207221113397
domestic_viruses_strict,7,29,3,0.7511,-0.0861429666559228
domestic_viruses_strict,8,29,3,0.5008,-13.727346846576236
domestic_viruses_strict,9,29,3,0.0,3.180046656458953
domestic_viruses_strict,10,29,3,0.24919,-1.1770658583842255
vtraits,1,417,47,0.19371,0.08181849253643644
vtraits,2,417,47,0.51917,0.037667468109069915
vtraits,3,417,47,0.27356,-0.05671060605329214
vtraits,4,417,47,0.51662,0.047212565882501514
vtraits,5,418,46,0.34268,-0.06089945134815738
vtraits,6,418,46,0.90483,-0.0063344050720011424
vtraits,7,418,46,0.94581,-0.004005199619954099
vtraits,8,418,46,0.14553,0.09205847280532627
vtraits,9,418,46,0.02239,-0.14360467271393873
vtraits,10,418,46,0.69705,0.0218716942001734
vtraits_strict,1,367,41,0.48946,0.04224958358492694
vtraits_strict,2,367,41,0.78274,-0.014958771517276098
vtraits_strict,3,367,41,0.44983,-0.03939068057173685
vtraits_strict,4,367,41,0.47288,-0.04243616788384777
vtraits_strict,5,367,41,0.67308,-0.022837961474584015
vtraits_strict,6,367,41,0.73659,-0.021258620859300466
vtraits_strict,7,367,41,0.52892,-0.0393848003684855
vtraits_strict,8,367,41,0.93086,0.005341957840801662
vtraits_strict,9,368,40,0.09477,0.12099952185299752
vtraits_strict,10,368,40,0.64068,0.035559947434056674
